age,education,career,sleep_hours,exercise,risk_tolerance,location,income_2040,happiness_score,health_score,relationship_stability
56,High School,Educator,6.2,1-2x/week,7,Urban,65900,6.7,66,74
36,High School,Engineer,6.9,3-5x/week,4,Suburban,66400,4.8,86,69
39,PhD,Educator,7.1,Rarely,5,Rural,88100,5.9,71,80
61,High School,Entrepreneur,7.0,3-5x/week,9,Urban,73900,6.4,77,75
61,High School,Other,10.0,1-2x/week,2,Suburban,55400,6.7,82,64
26,High School,Engineer,6.1,1-2x/week,3,Rural,61900,5.0,76,47
61,PhD,Engineer,6.2,3-5x/week,0,Rural,104400,4.8,81,37
19,High School,Entrepreneur,4.9,1-2x/week,3,Urban,54100,4.6,70,67
65,Bachelor's,Artist,8.1,1-2x/week,8,Rural,65000,5.1,77,90
41,Master's,Doctor,5.0,Rarely,8,Rural,110400,5.1,55,68
42,High School,Artist,7.9,3-5x/week,2,Suburban,42800,6.6,83,69
59,High School,Engineer,5.7,3-5x/week,6,Suburban,76600,5.5,75,79
50,Master's,Educator,6.7,1-2x/week,7,Urban,83500,5.9,78,88
39,Master's,Engineer,6.9,Rarely,4,Suburban,87600,6.8,59,69
31,Master's,Entrepreneur,10.0,1-2x/week,9,Rural,81900,6.8,80,74
49,Bachelor's,Other,5.8,Rarely,6,Urban,62600,6.3,68,62
53,Bachelor's,Entrepreneur,7.2,Daily,2,Urban,77200,6.1,86,67
23,Master's,Other,4.8,1-2x/week,3,Rural,60700,4.7,70,68
45,Bachelor's,Educator,8.1,Daily,0,Urban,68000,5.1,84,35
30,PhD,Engineer,4.0,Rarely,4,Rural,94000,5.2,52,71
41,Master's,Doctor,6.8,Rarely,7,Urban,109900,6.7,58,85
29,PhD,Educator,7.0,Daily,0,Suburban,81600,3.3,81,49
49,High School,Engineer,6.7,Rarely,1,Rural,70100,5.4,50,67
23,Bachelor's,Entrepreneur,8.2,Rarely,10,Suburban,69200,6.2,59,73
55,Bachelor's,Educator,9.1,1-2x/week,5,Suburban,74500,5.2,84,61
33,Bachelor's,Doctor,6.3,Daily,5,Urban,95700,6.7,86,69
53,Bachelor's,Other,7.0,3-5x/week,2,Suburban,62200,5.0,75,53
58,PhD,Educator,5.6,1-2x/week,1,Rural,93700,6.3,73,62
42,High School,Other,7.3,3-5x/week,9,Urban,51300,5.4,83,64
43,Master's,Engineer,7.0,1-2x/week,0,Urban,87200,5.4,72,47
29,Bachelor's,Educator,8.5,Rarely,6,Rural,64600,6.8,60,54
65,Master's,Entrepreneur,7.2,Rarely,5,Urban,93500,6.2,67,77
28,Bachelor's,Entrepreneur,8.3,3-5x/week,8,Rural,70200,8.8,82,61
52,PhD,Educator,5.2,Rarely,0,Urban,90800,5.1,60,46
65,Master's,Engineer,8.2,3-5x/week,6,Rural,99000,7.8,76,79
65,Master's,Artist,6.6,3-5x/week,6,Urban,74000,5.3,80,53
55,Master's,Artist,8.3,Daily,10,Rural,72000,7.2,76,71
50,High School,Educator,6.6,Daily,4,Suburban,62000,8.4,83,46
21,PhD,Educator,7.1,1-2x/week,0,Urban,78400,4.9,74,51
63,High School,Educator,6.7,Rarely,8,Urban,69200,7.2,62,77
63,High School,Artist,6.3,3-5x/week,4,Urban,52200,6.4,74,53
20,PhD,Engineer,7.3,3-5x/week,5,Suburban,90500,4.8,82,82
41,Master's,Engineer,8.0,Daily,6,Urban,89400,5.4,86,56
19,Master's,Entrepreneur,8.3,3-5x/week,8,Suburban,76600,6.5,76,87
46,PhD,Entrepreneur,6.0,3-5x/week,1,Urban,93900,3.2,79,91
62,High School,Doctor,6.2,3-5x/week,2,Suburban,95800,5.0,71,40
19,High School,Doctor,9.8,Daily,2,Rural,78600,5.6,100,37
39,Bachelor's,Doctor,6.4,Daily,3,Urban,97100,5.5,72,63
25,Bachelor's,Educator,5.9,Rarely,4,Urban,62000,6.1,67,60
49,Bachelor's,Entrepreneur,10.0,1-2x/week,6,Suburban,77600,8.9,79,63
36,PhD,Educator,5.8,Rarely,4,Suburban,86400,5.3,70,55
18,PhD,Entrepreneur,6.5,Rarely,1,Urban,82700,4.7,61,50
42,Master's,Other,5.1,Rarely,6,Rural,69800,6.5,56,87
46,High School,Artist,4.7,1-2x/week,2,Urban,44400,4.2,68,74
